term_str,Unnamed: 0,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
fact,3543,38,8.009982968246742e-05,13.607841299424807,32.645364309990256,fact,NN,NN,0
nightfall,7032,25,5.269725637004435e-05,14.21191262309367,32.645364309990256,nightfal,NN,NN,0
debate,2458,27,5.69130368796479e-05,14.100881310704926,32.645364309990256,debat,NN,NN,0
chamber,1608,61,0.0001285813055429,12.92503147530551,32.645364309990256,chamber,NN,NN,0
chain,1594,33,6.956037840845854e-05,13.811374693509942,32.645364309990256,chain,NN,NN,0
sunset,10393,27,5.69130368796479e-05,14.100881310704926,32.645364309990256,sunset,NN,NN,0
heir,5016,40,8.431561019207097e-05,13.533840717981032,32.645364309990256,heir,NN,NN,0
peregrin,7642,48,0.0001011787322304,13.27080631214724,32.645364309990256,peregrin,NN,NN,0
music,6877,36,7.588404917286387e-05,13.685843811426082,32.645364309990256,music,NN,NN,0
question,8192,26,5.480514662484612e-05,14.155329094727303,32.645364309990256,question,NN,NN,0
beheld,791,23,4.84814758604408e-05,14.332206856811382,32.645364309990256,beheld,NN,NN,0
brow,1289,37,7.799193942766564e-05,13.646315447239443,32.645364309990256,brow,NN,NN,0
behold,793,41,8.642350044687274e-05,13.498216808250312,32.645364309990256,behold,NN,NN,0
dismay,2764,29,6.112881738925145e-05,13.997787817740823,32.645364309990256,dismay,NN,NN,0
woke,12215,40,8.431561019207097e-05,13.533840717981032,32.597671398390354,woke,NN,NN,0
awake,549,51,0.0001075024029948,13.1833434708969,32.597671398390354,awak,NN,NN,0
struck,10288,34,7.166826866326032e-05,13.768305971618055,32.597671398390354,struck,NN,NN,0
spread,9940,36,7.588404917286387e-05,13.685843811426082,32.597671398390354,spread,NN,NN,0
bad,579,53,0.0001117181835044,13.127848358305195,32.597671398390354,bad,JJ,JJ,0
wore,12255,40,8.431561019207097e-05,13.533840717981032,32.597671398390354,wore,NN,NN,0
spare,9829,32,6.745248815365677e-05,13.855768812868396,32.597671398390354,spare,NN,NN,0
willing,12135,38,8.009982968246742e-05,13.607841299424807,32.597671398390354,will,JJ,JJ,0
southern,9809,34,7.166826866326032e-05,13.768305971618055,32.597671398390354,southern,JJ,JJ,0
southward,9819,45,9.485506146607982e-05,13.36391571653872,32.597671398390354,southward,NN,NN,0
sort,9790,43,9.063928095647628e-05,13.429504058166298,32.597671398390354,sort,NN,NN,0
bridge,1231,89,0.0001876022326773,12.380035381901996,32.597671398390354,bridg,NN,NN,0
slope,9606,68,0.0001433365373265,12.768305971618055,32.597671398390354,slope,NN,NN,0
business,1383,63,0.0001327970860525,12.878488889368478,32.597671398390354,busi,NN,NN,0
fought,4116,35,7.377615891806209e-05,13.726485795923429,32.597671398390354,fought,NN,NN,0
forest,4056,157,0.0003309387700038,11.561148063976768,32.597671398390354,forest,NN,NN,0
sunlight,10388,47,9.907084197568336e-05,13.301179961190758,32.597671398390354,sunlight,NN,NN,0
smiled,9649,46,9.69629517208816e-05,13.332206856811382,32.597671398390354,smile,NN,NN,0
proud,8081,54,0.0001138260737592,13.100881310704926,32.597671398390354,proud,NN,NN,0
climb,1803,51,0.0001075024029948,13.1833434708969,32.597671398390354,climb,NN,NN,0
expect,3484,40,8.431561019207097e-05,13.533840717981032,32.597671398390354,expect,VB,VB,0
everything,3430,61,0.0001285813055429,12.92503147530551,32.597671398390354,everyth,NN,NN,0
prepared,7966,36,7.588404917286387e-05,13.685843811426082,32.597671398390354,prepar,JJ,JJ,0
count,2132,39,8.220771993726919e-05,13.570366594006147,32.597671398390354,count,NN,NN,0
driven,2971,42,8.853139070167451e-05,13.463451390089634,32.597671398390354,driven,NN,NN,0
ã,12414,137,0.0002887809649078,11.757736729907869,32.597671398390354,ã,NN,NN,0
