term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Unnamed: 0_load,n_load,p_load,i_load,dfidf_load,porter_stem_load,max_pos_load,max_pos_group_load,Unnamed: 0_vocab,n_vocab,p_vocab,i_vocab,dfidf_vocab,porter_stem_vocab,max_pos_vocab,max_pos_group_vocab,stop_vocab,Unnamed: 0,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
race,-0.0008241723418579709,0.004613133386900665,0.0023060302521235253,-0.0007366618689834763,-0.00020992984572349016,0.00013895199111788823,-0.00038610297380623924,-0.0009217018417620166,0.0018401275510049782,0.002016385638506305,8225,33,6.956037840845854e-05,13.811374693509942,32.88482321849072,race,NN,NN,8225,33,6.956037840845854e-05,13.811374693509942,32.88482321849072,race,NN,NN,0,8225,33,6.956037840845854e-05,13.811374693509942,32.88482321849072,race,NN,NN,0
smooth,0.00024073619114113856,-0.0018066794626614118,1.5782581597683592e-07,0.00424767820983632,-0.0020530442544937967,0.0017090130528315543,-0.0043641267715123465,0.006068874813425273,0.0011527551914402264,0.0006493065348963552,9664,37,7.799193942766564e-05,13.646315447239443,32.88482321849072,smooth,NN,NN,9664,37,7.799193942766564e-05,13.646315447239443,32.88482321849072,smooth,NN,NN,0,9664,37,7.799193942766564e-05,13.646315447239443,32.88482321849072,smooth,NN,NN,0
heed,-0.0002491034448429358,0.0010274282261358476,0.001450473435001709,-0.00028865318863406544,-0.00033868129477302936,-0.004250801717293877,-0.002334552824126518,0.0015200698499871735,0.0016684146999982872,0.001885716673655231,5006,30,6.323670764405322e-05,13.948878217259876,32.88482321849072,heed,NN,NN,5006,30,6.323670764405322e-05,13.948878217259876,32.88482321849072,heed,NN,NN,0,5006,30,6.323670764405322e-05,13.948878217259876,32.88482321849072,heed,NN,NN,0
bow,-0.004775626143896103,0.0023688610876807983,0.0004118992043265457,0.006078564936561059,0.0016679472725654942,-0.0005226880144724465,-0.0029099933046466855,0.00024356331684668013,-0.0007798076870816664,0.0005058220285808388,1133,41,8.642350044687274e-05,13.498216808250312,32.88482321849072,bow,NN,NN,1133,41,8.642350044687274e-05,13.498216808250312,32.88482321849072,bow,NN,NN,0,1133,41,8.642350044687274e-05,13.498216808250312,32.88482321849072,bow,NN,NN,0
loss,-0.002917217039443344,0.0006704779354385382,0.0016453214654412662,0.001187641348622652,0.0001359686593157596,-0.002537933141407492,0.0006963160679424174,0.0007536508025022195,0.005157375362919518,0.0020713626947681677,6272,27,5.69130368796479e-05,14.100881310704926,32.88482321849072,loss,NN,NN,6272,27,5.69130368796479e-05,14.100881310704926,32.88482321849072,loss,NN,NN,0,6272,27,5.69130368796479e-05,14.100881310704926,32.88482321849072,loss,NN,NN,0
flight,0.004540920482654764,-0.0007192667557166174,-0.0004046209537021448,0.0026844164183069297,-8.34290712811507e-05,0.0006671571661505719,-0.0006908726293999433,-0.0006892102293869475,-0.0014120259885470545,0.0011856540460414649,3910,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,flight,NN,NN,3910,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,flight,NN,NN,0,3910,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,flight,NN,NN,0
catch,0.0029919929477593473,-0.0029974468661069795,0.00046541630139500077,0.0037610549544412186,0.0011100030375964564,-0.002626665987066505,-0.00184897252351184,-0.0028335642458434058,0.000692905254098768,-0.000994903473803917,1536,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,catch,NN,NN,1536,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,catch,NN,NN,0,1536,32,6.745248815365677e-05,13.855768812868396,32.88482321849072,catch,NN,NN,0
flash,-0.0009336665325937141,0.0010071034061262956,-0.0022730556904574967,0.0006880149046298667,3.537048958350137e-05,0.0015436480058088483,-0.00022310317516012053,-0.00014705904473642662,-0.001046189489258193,0.0013748387036670924,3870,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,flash,NN,NN,3870,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,flash,NN,NN,0,3870,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,flash,NN,NN,0
order,-0.0020477761475567037,-0.0016691910071360897,0.0035158223058795604,-0.002925777423256752,-0.007548266805862854,0.0031402463107493344,0.0004984838927660997,-2.6646955902286432e-05,0.0008528035862116911,0.002020116434661279,7303,40,8.431561019207097e-05,13.533840717981032,32.88482321849072,order,NN,NN,7303,40,8.431561019207097e-05,13.533840717981032,32.88482321849072,order,NN,NN,0,7303,40,8.431561019207097e-05,13.533840717981032,32.88482321849072,order,NN,NN,0
chair,-7.602564544293816e-05,-0.00693933439923325,0.006811079124994615,-0.008293639815970236,0.000507884390284656,-0.0019612297062091212,0.005333492349816856,0.005021296005363162,0.001002333489337358,0.00014007290040100368,1598,52,0.0001096102932496,13.155329094727303,32.88482321849072,chair,NN,NN,1598,52,0.0001096102932496,13.155329094727303,32.88482321849072,chair,NN,NN,0,1598,52,0.0001096102932496,13.155329094727303,32.88482321849072,chair,NN,NN,0
search,-0.002574760942418554,-0.0010438420477243678,-0.0011480791704068325,0.0027319950308863513,-0.002983288228884225,0.003298915009378019,-0.0043804797784840945,-0.003991485315512216,-0.0006425367043977752,0.000390170913059978,9090,36,7.588404917286387e-05,13.685843811426082,32.88482321849072,search,NN,NN,9090,36,7.588404917286387e-05,13.685843811426082,32.88482321849072,search,NN,NN,0,9090,36,7.588404917286387e-05,13.685843811426082,32.88482321849072,search,NN,NN,0
pool,0.0045487849091653985,0.0009575637591371888,0.003824499103423515,0.0011248293761883103,-0.005499233054134137,6.286147700488053e-05,-0.0029345369037350874,0.007384730047837424,-0.0031784268567275433,-0.0005127012997792489,7876,47,9.907084197568336e-05,13.301179961190758,32.88482321849072,pool,NN,NN,7876,47,9.907084197568336e-05,13.301179961190758,32.88482321849072,pool,NN,NN,0,7876,47,9.907084197568336e-05,13.301179961190758,32.88482321849072,pool,NN,NN,0
