book_id,chap_num,term_str,n,tfidf
1,1,creaking,1,0.0002485568089817254
1,1,cried,6,1.4023496756394714e-05
1,1,cries,1,0.0001305509734594152
1,1,crowd,2,0.0006270481993283394
1,1,crumbs,1,0.0004353127238881856
1,1,crushing,1,0.00039396197174323754
1,1,cup,1,0.0002245448433043522
1,1,curdled,2,0.001186449399299965
1,1,cure,1,0.00027740074812638866
1,1,curiosity,1,0.00039396197174323754
1,1,curious,3,0.0008829918233695951
1,1,curiously,1,0.00039396197174323754
1,1,custom,1,0.0002360499959814406
1,1,customs,1,0.0004353127238881856
1,1,cut,1,4.2904688087064094e-05
1,1,d,1,0.00011426137175742464
1,1,dad,2,0.0006713627198696263
1,1,daddy,1,0.0005932246996499825
1,1,dainties,1,0.00049359333569661
1,1,dale,2,0.000389398487672985
1,1,dance,3,0.0010856635096640967
1,1,dances,1,0.00049359333569661
1,1,dangerous,1,7.036652355716745e-05
1,1,dark,5,0.0
1,1,darker,1,0.0001946992438364925
1,1,darkness,1,9.586063092488092e-06
1,1,dashed,1,0.00027740074812638866
1,1,date,1,0.00039396197174323754
1,1,daughter,1,0.0002245448433043522
1,1,daughters,1,0.00049359333569661
1,1,dawned,1,0.0003135240996641697
1,1,day,9,0.0
1,1,daylight,1,0.0001946992438364925
1,1,days,5,4.793031546244046e-05
1,1,dead,2,2.926001560810425e-05
1,1,deafening,2,0.0008706254477763712
1,1,deal,1,8.635383771411137e-05
1,1,dealing,1,0.00039396197174323754
1,1,deals,1,0.00049359333569661
1,1,dear,8,0.0007605430390649598
1,1,dearly,1,0.00020397586079290192
1,1,decent,2,0.0007879239434864751
1,1,declared,1,0.0003135240996641697
1,1,deed,1,0.00016999788751053996
1,1,deep,5,3.564474495617917e-05
1,1,deeply,1,0.00015561212390237272
1,1,delightful,1,0.00049359333569661
1,1,deliver,1,0.00033568135993481313
1,1,delving,1,0.0003135240996641697
1,1,demand,2,0.0007237756731093978
1,1,demanded,1,0.00039396197174323754
1,1,departed,1,0.0001946992438364925
1,1,depleted,1,0.0005932246996499825
1,1,deserve,1,0.0004353127238881856
1,1,designed,1,0.0005932246996499825
1,1,detested,1,0.0005932246996499825
1,1,devoted,1,0.0005932246996499825
1,1,did,18,0.0
1,1,didn,1,0.00010434449683952943
1,1,die,1,0.00012491347935097966
1,1,died,1,7.813802021964362e-05
1,1,different,1,0.0001489254450283529
1,1,difficult,2,0.0002611019469188304
1,1,difficulty,1,0.000294330607789865
1,1,din,1,0.00033568135993481313
1,1,dinner,5,0.0018094391827734944
1,1,directed,1,0.00049359333569661
1,1,direction,1,0.0001859852016674839
1,1,disappear,2,0.0008706254477763712
1,1,disappearance,2,0.0007237756731093978
1,1,disappeared,1,0.00016999788751053996
1,1,disappearing,1,0.0004353127238881856
1,1,disappointed,1,0.00039396197174323754
1,1,disappointment,1,0.0005932246996499825
1,1,discover,1,0.00021389273571079717
1,1,discussing,1,0.0003618878365546989
1,1,disliked,1,0.00049359333569661
1,1,disliking,1,0.0005932246996499825
