term_str,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,Unnamed: 0_load,term_str,n_load,p_load,i_load,dfidf_load,porter_stem_load,max_pos_load,max_pos_group_load,Unnamed: 0_vocab,n_vocab,p_vocab,i_vocab,dfidf_vocab,porter_stem_vocab,max_pos_vocab,max_pos_group_vocab,stop_vocab,Unnamed: 0,n,p,i,dfidf,porter_stem,max_pos,max_pos_group,stop
clean,-0.0027043561538514374,-0.001192552083101062,0.001122769229118165,0.0013073867614361485,-0.0007499268711913941,-0.001414617910034084,0.003219914519469493,0.00614299880239509,0.004669919550143733,-0.0005185091099187561,,,,,,,,,,1779,36,7.588404917286387e-05,13.685843811426082,32.88482321849072,clean,NN,NN,0,1779,36,7.588404917286387e-05,13.685843811426082,32.88482321849072,clean,NN,NN,0
enter,-0.0034038379598116133,0.004197176267346597,0.0018723668584234572,0.003561810086348059,-0.0010827183065416069,-0.001029722614548249,0.0015251323908468644,0.0008850049917352036,0.004808535786152792,-0.0006852896108311229,,,,,,,,,,3319,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,enter,NN,NN,0,3319,43,9.063928095647628e-05,13.429504058166298,32.88482321849072,enter,NN,NN,0
hewn,-0.0025236256346253495,0.0032191535113013795,-0.0030331208050790284,0.00042335238432893044,0.00035989763033439587,0.0022236097664290085,0.0017168761793338496,-0.00025248116396352514,-0.0029524375897940426,-0.0015908236068018185,,,,,,,,,,5080,29,6.112881738925145e-05,13.997787817740823,32.88482321849072,hewn,NN,NN,0,5080,29,6.112881738925145e-05,13.997787817740823,32.88482321849072,hewn,NN,NN,0
stern,-0.00032284950652799907,0.004762617831379427,-0.0021684594023992404,0.0010536747797947877,0.0020067889940349535,-0.0020493376304795727,-0.00019497689805216808,-0.0013140654742952737,-0.0005691802674751513,0.000102566119916222,,,,,,,,,,10115,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,stern,NN,NN,0,10115,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,stern,NN,NN,0
bird,0.0021417401859266153,0.0029484389025634453,0.0005717316001919564,0.0036584153217095005,0.002495716626854049,-0.0026302190215906057,-0.0011696860962739563,0.002334665889096687,-0.0003767900227967579,-0.005103820627220808,,,,,,,,,,909,30,6.323670764405322e-05,13.948878217259876,32.88482321849072,bird,NN,NN,0,909,30,6.323670764405322e-05,13.948878217259876,32.88482321849072,bird,NN,NN,0
meaning,-0.0007053236910678276,-0.0028405061221250544,0.0014247134496123176,-0.0011204988423384606,-0.0016141135225446101,-0.0022271244677368163,-0.0032043476256849845,-0.00038814672206318064,0.0016082838335554769,-0.0027276937482967295,,,,,,,,,,6523,28,5.902092713444967e-05,14.04841389081079,32.88482321849072,mean,NN,NN,0,6523,28,5.902092713444967e-05,14.04841389081079,32.88482321849072,mean,NN,NN,0
garden,0.003761732758745631,-0.0038195272244955893,0.006536525993203392,-0.005760687535050777,-0.00487897739457004,-0.005113641313724154,-0.0076317387566582325,0.0015135647197231927,0.005913913326123592,-0.0021095852319831924,,,,,,,,,,4308,50,0.00010539451274,13.21191262309367,32.88482321849072,garden,NN,NN,0,4308,50,0.00010539451274,13.21191262309367,32.88482321849072,garden,NN,NN,0
gamgee,0.007607472471104146,-0.00707082957241425,-0.0007822376600889781,-0.0009313171994490659,-0.0019825575293479732,-0.0038937092016487073,-0.005423277214242965,-0.007340212181311299,-0.0060295583789901925,-0.0009969362789308274,,,,,,,,,,4290,45,9.485506146607982e-05,13.36391571653872,32.88482321849072,gamge,NN,NN,0,4290,45,9.485506146607982e-05,13.36391571653872,32.88482321849072,gamge,NN,NN,0
waste,0.00039122609179424543,-0.0034316755140224612,-0.0001347586829514337,0.0010442617016605765,-0.002241184678485719,0.0001403105708428705,-0.0007426098782941239,-0.0009570145061398818,0.0015501059070711933,-0.0013409843765635912,,,,,,,,,,11882,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,wast,NN,NN,0,11882,31,6.5344597898855e-05,13.90157250248152,32.88482321849072,wast,NN,NN,0
galadriel,-0.0031900955042410894,-0.004408912587378066,0.005640192859586284,0.017593941517871116,-0.010310902220705282,-0.01619915659444144,-0.010464219291000828,0.0036125530553607157,0.0337588350139227,-0.03020422959534185,,,,,,,,,,4275,83,0.0001749548911485,12.48072938152147,32.88482321849072,galadriel,NN,NN,0,4275,83,0.0001749548911485,12.48072938152147,32.88482321849072,galadriel,NN,NN,0
